Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Luca Pellegrini,2022-2023,1. Serie A,Lazio,7,1,180,0,0,0,0,0.1,0.1,0.2
Luca Pellegrini,2023-2024,1. Serie A,Lazio,19,8,786,1,0,0,0,0.2,0.2,0.3
Luca Pellegrini,2024-2025,1. Serie A,Lazio,8,3,352,0,1,0,0,0.1,0.1,0.6
Luca Ranieri,2017-2018,1. Serie A,Fiorentina,0,0,,,,,,,,
Luca Ranieri,2018-2019,2. Serie B,Foggia,29,26,"2,341",0,0,0,0,0.6,0.6,0.4
Luca Ranieri,2019-2020,1. Serie A,Fiorentina,3,2,232,0,0,0,0,0.1,0.1,0.3
Luca Ranieri,2019-2020,2. Serie B,Ascoli,10,9,857,0,0,0,0,0.3,0.3,0.1
Luca Ranieri,2020-2021,2. Serie B,SPAL,25,23,"2,115",0,1,0,0,0.5,0.5,0.5
Luca Ranieri,2021-2022,1. Serie A,Salernitana,27,25,"2,103",1,0,0,0,0.6,0.6,1.0
Luca Ranieri,2021-2022,1. Serie A,Fiorentina,0,0,,,,,,,,
Luca Ranieri,2022-2023,1. Serie A,Fiorentina,9,5,508,0,0,0,0,0.1,0.1,0.1
Luca Ranieri,2023-2024,1. Serie A,Fiorentina,26,23,"2,065",2,1,0,0,0.9,0.9,0.4
Luca Ranieri,2024-2025,1. Serie A,Fiorentina,12,11,"1,015",0,2,0,0,0.1,0.1,1.3
Luca Rizzo,2013-2014,2. Serie B,Modena,35,33,"2,849",3,5,0,0,,,
Luca Rizzo,2014-2015,1. Serie A,Sampdoria,15,7,621,1,0,0,0,,,
Luca Rizzo,2015-2016,1. Serie A,Bologna,23,17,"1,447",0,2,0,0,,,
Luca Rizzo,2016-2017,1. Serie A,Bologna,12,4,456,0,0,0,0,,,
Luca Rizzo,2017-2018,1. Serie A,SPAL,11,4,488,2,0,0,0,0.5,0.5,0.8
Luca Rizzo,2017-2018,1. Serie A,Atalanta,0,0,,,,,,,,
Luca Rizzo,2018-2019,2. Serie B,Carpi,0,0,,,,,,,,
Luca Rizzo,2018-2019,2. Serie B,Foggia,5,2,197,0,0,0,0,0.3,0.3,0.4
Luca Rizzo,2019-2020,2. Serie B,Livorno,4,3,164,0,0,0,0,0.6,0.6,0.2
Luca Vido,2015-2016,1. Serie A,Milan,0,0,,,,,,,,
Luca Vido,2016-2017,2. Serie B,Cittadella,12,3,459,4,2,0,0,,,
Luca Vido,2017-2018,2. Serie B,Cittadella,17,11,897,2,2,0,0,,,
Luca Vido,2017-2018,1. Serie A,Atalanta,4,0,74,0,0,0,0,0.2,0.2,0.1
Luca Vido,2018-2019,2. Serie B,Perugia,32,24,"2,106",10,3,3,3,11.9,8.8,4.9
Luca Vido,2019-2020,2. Serie B,Crotone,13,5,523,0,0,0,0,1.3,1.3,1.2
Luca Vido,2019-2020,2. Serie B,Pisa,16,10,900,3,1,0,0,3.2,3.2,0.9
Luca Vido,2020-2021,2. Serie B,Pisa,29,20,"1,648",6,1,0,0,5.4,4.6,2.8
Luca Vido,2021-2022,2. Serie B,SPAL,16,12,919,3,3,0,0,2.7,2.7,1.8
Luca Vido,2021-2022,2. Serie B,Cremonese,14,6,479,3,0,0,0,1.6,1.6,1.0
Luca Vido,2022-2023,2. Serie B,Palermo,25,2,411,1,0,1,1,2.0,1.2,1.9
Luca Vido,2023-2024,2. Serie B,Reggiana,3,0,39,1,0,1,1,0.8,0.0,0.0
Luca Vido,2024-2025,2. Serie B,Reggiana,12,5,442,2,1,1,1,2.2,1.4,0.4
Lucas Biglia,2006-2007,1. First Division,Anderlecht,33,33,"2,843",1,4,1,1,,,
Lucas Biglia,2007-2008,1. First Division,Anderlecht,30,30,"2,585",1,0,0,0,,,
Lucas Biglia,2008-2009,1. First Division,Anderlecht,30,28,"2,488",2,2,0,0,,,
Lucas Biglia,2009-2010,1. Pro League,Anderlecht,33,33,"2,929",1,8,0,0,,,
Lucas Biglia,2010-2011,1. Pro League,Anderlecht,26,25,"2,045",0,0,0,0,,,
Lucas Biglia,2011-2012,1. Pro League,Anderlecht,30,30,"2,666",2,9,0,0,,,
Lucas Biglia,2012-2013,1. Pro League,Anderlecht,36,36,"3,192",5,8,2,2,,,
Lucas Biglia,2013-2014,1. Serie A,Lazio,26,23,"1,943",2,0,1,1,,,
Lucas Biglia,2014-2015,1. Serie A,Lazio,27,27,"2,321",3,2,1,1,,,
Lucas Biglia,2015-2016,1. Serie A,Lazio,27,26,"2,296",4,3,2,2,,,
Lucas Biglia,2016-2017,1. Serie A,Lazio,29,28,"2,264",4,3,3,3,,,
Lucas Biglia,2017-2018,1. Serie A,Milan,28,24,"2,039",1,0,0,0,0.8,0.8,0.8
Lucas Biglia,2018-2019,1. Serie A,Milan,16,13,"1,114",1,0,0,0,0.2,0.2,0.4
Lucas Biglia,2019-2020,1. Serie A,Milan,14,8,685,0,1,0,0,0.3,0.3,0.3
Lucas Biglia,2020-2021,1. Süper Lig,Fatih Karagümrük,35,34,"2,891",3,2,2,2,,,
Lucas Biglia,2021-2022,1. Süper Lig,Fatih Karagümrük,33,33,"2,795",1,4,0,0,,,
Lucas Biglia,2022-2023,1. Süper Lig,Başakşehir,25,18,"1,638",0,0,0,0,,,
Lucas Boyé,2014,1. Primera Div,River Plate,17,6,599,1,0,0,0,,,
