Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Adam Marušić,2013-2014,1. SuperLiga,Voždovac,27,24,"2,116",6,2,0,0,,,
Adam Marušić,2014-2015,1. Pro League,Kortrijk,34,27,"2,385",6,3,0,0,,,
Adam Marušić,2015-2016,1. Pro League,Kortrijk,35,31,"2,833",4,0,1,1,,,
Adam Marušić,2016-2017,1. First Division A,Oostende,35,33,"2,999",5,4,0,0,,,
Adam Marušić,2017-2018,1. Serie A,Lazio,32,28,"2,523",3,4,0,0,3.1,3.1,3.3
Adam Marušić,2018-2019,1. Serie A,Lazio,26,24,"2,111",1,1,0,0,1.0,1.0,1.3
Adam Marušić,2019-2020,1. Serie A,Lazio,15,10,942,2,1,0,0,1.9,1.9,0.6
Adam Marušić,2020-2021,1. Serie A,Lazio,36,33,"2,966",2,3,0,0,2.2,2.2,2.2
Adam Marušić,2021-2022,1. Serie A,Lazio,33,30,"2,721",1,0,0,0,0.2,0.2,0.5
Adam Marušić,2022-2023,1. Serie A,Lazio,33,31,"2,760",0,2,0,0,0.7,0.7,1.1
Adam Marušić,2023-2024,1. Serie A,Lazio,37,37,"3,100",1,0,0,0,0.4,0.4,0.8
Adam Marušić,2024-2025,1. Serie A,Lazio,13,6,671,0,0,0,0,0.1,0.1,0.1
Adam Ounas,2015-2016,1. Ligue 1,Bordeaux,23,15,"1,311",5,2,0,0,,,
Adam Ounas,2016-2017,1. Ligue 1,Bordeaux,26,11,"1,224",3,2,1,1,,,
Adam Ounas,2017-2018,1. Serie A,Napoli,7,0,96,0,0,0,0,0.2,0.2,0.3
Adam Ounas,2018-2019,1. Serie A,Napoli,18,6,538,3,0,0,0,1.4,1.4,1.9
Adam Ounas,2019-2020,1. Ligue 1,Nice,16,14,"1,123",2,4,0,0,2.0,2.0,3.3
Adam Ounas,2020-2021,1. Serie A,Crotone,15,15,"1,199",4,4,0,0,2.3,2.3,2.9
Adam Ounas,2020-2021,1. Serie A,Cagliari,7,3,308,0,0,0,0,0.9,0.9,0.9
Adam Ounas,2021-2022,1. Serie A,Napoli,15,1,326,0,0,0,0,0.7,0.7,0.8
Adam Ounas,2022-2023,1. Serie A,Napoli,2,0,15,0,0,0,0,0.0,0.0,0.0
Adam Ounas,2022-2023,1. Ligue 1,Lille,21,12,"1,064",1,1,0,0,2.3,2.3,2.8
Adam Ounas,2023-2024,1. Ligue 1,Lille,17,3,418,1,0,0,0,0.6,0.6,1.9
Adem Ljajić,2008-2009,1. SuperLiga,Partizan,24,15,"1,466",5,4,0,0,,,
Adem Ljajić,2009-2010,1. SuperLiga,Partizan,14,11,"1,018",4,1,0,0,,,
Adem Ljajić,2009-2010,1. Serie A,Fiorentina,9,3,367,0,1,0,0,,,
Adem Ljajić,2010-2011,1. Serie A,Fiorentina,26,14,"1,380",3,4,2,2,,,
Adem Ljajić,2011-2012,1. Serie A,Fiorentina,15,9,652,1,1,0,0,,,
Adem Ljajić,2012-2013,1. Serie A,Fiorentina,28,21,"1,612",11,6,1,1,,,
Adem Ljajić,2013-2014,1. Serie A,Roma,28,17,"1,625",6,5,1,1,,,
Adem Ljajić,2014-2015,1. Serie A,Roma,32,23,"2,016",8,2,1,1,,,
Adem Ljajić,2015-2016,1. Serie A,Roma,1,0,2,0,0,0,0,,,
Adem Ljajić,2015-2016,1. Serie A,Inter,25,16,"1,444",3,3,0,0,,,
Adem Ljajić,2016-2017,1. Serie A,Torino,33,30,"2,513",10,8,1,1,,,
Adem Ljajić,2017-2018,1. Serie A,Torino,27,23,"2,166",6,10,0,0,4.3,4.2,8.4
Adem Ljajić,2018-2019,1. Serie A,Torino,1,0,30,0,0,0,0,0.1,0.1,0.0
Adem Ljajić,2018-2019,1. Süper Lig,Beşiktaş,27,25,"2,223",9,11,2,2,,,
Adem Ljajić,2019-2020,1. Süper Lig,Beşiktaş,24,17,"1,593",5,6,0,0,,,
Adem Ljajić,2020-2021,1. Süper Lig,Beşiktaş,22,14,"1,095",2,3,0,0,,,
Adem Ljajić,2021-2022,1. Süper Lig,Beşiktaş,0,0,,,,,,,,
Adem Ljajić,2022-2023,1. Süper Lig,Fatih Karagümrük,9,0,104,0,1,0,0,,,
Adem Ljajić,2023-2024,1. Süper Lig,Fatih Karagümrük,2,1,83,0,0,0,0,,,
Adem Ljajić,2023-2024,1. SuperLiga,Novi Pazar,24,20,"1,674",9,5,4,4,,,
Adem Ljajić,2024-2025,1. SuperLiga,Novi Pazar,16,16,"1,385",6,6,1,1,,,
Afriyie Acquah,2010-2011,1. Serie A,Palermo,11,3,434,0,0,0,0,,,
Afriyie Acquah,2011-2012,1. Serie A,Palermo,20,10,985,0,0,0,0,,,
Afriyie Acquah,2012-2013,1. Serie A,Parma,13,4,540,0,0,0,0,,,
Afriyie Acquah,2013-2014,1. Serie A,Parma,27,19,"1,787",1,2,0,0,,,
Afriyie Acquah,2014-2015,1. Serie A,Parma,14,12,"1,119",0,0,0,0,,,
Afriyie Acquah,2014-2015,1. Serie A,Sampdoria,10,10,713,1,0,0,0,,,
Afriyie Acquah,2015-2016,1. Serie A,Torino,29,22,"1,888",2,3,0,0,,,
Afriyie Acquah,2016-2017,1. Serie A,Torino,20,13,"1,077",2,0,0,0,,,
Afriyie Acquah,2017-2018,1. Serie A,Torino,22,9,951,1,0,0,0,0.4,0.4,0.6
Afriyie Acquah,2018-2019,1. Serie A,Empoli,28,19,"1,510",2,0,0,0,1.4,1.4,0.8
Afriyie Acquah,2019-2020,1. Süper Lig,Yeni Mal'spor,27,25,"2,208",1,3,0,0,,,
Afriyie Acquah,2020-2021,1. Süper Lig,Yeni Mal'spor,33,30,"2,457",2,0,0,0,,,
Afriyie Acquah,2021-2022,1. Pro League,Al-Batin,8,7,531,0,0,0,0,,,
Aleksandar Kolarov,2007-2008,1. Serie A,Lazio,24,17,"1,489",1,1,0,0,,,
Aleksandar Kolarov,2008-2009,1. Serie A,Lazio,25,22,"1,963",2,2,0,0,,,
Aleksandar Kolarov,2009-2010,1. Serie A,Lazio,33,33,"2,925",3,2,1,1,,,
Aleksandar Kolarov,2010-2011,1. Premier League,Manchester City,24,20,"1,719",1,0,0,0,,,
Aleksandar Kolarov,2011-2012,1. Premier League,Manchester City,12,9,823,2,4,0,0,,,
Aleksandar Kolarov,2012-2013,1. Premier League,Manchester City,20,11,"1,056",1,2,0,0,,,
Aleksandar Kolarov,2013-2014,1. Premier League,Manchester City,30,21,"1,977",1,7,0,0,,,
Aleksandar Kolarov,2014-2015,1. Premier League,Manchester City,21,16,"1,489",2,3,0,0,,,
Aleksandar Kolarov,2015-2016,1. Premier League,Manchester City,29,25,"2,283",3,3,0,0,,,
Aleksandar Kolarov,2016-2017,1. Premier League,Manchester City,29,27,"2,535",1,2,0,0,,,
Aleksandar Kolarov,2017-2018,1. Serie A,Roma,35,34,"3,060",2,6,0,0,2.5,2.5,9.0
Aleksandar Kolarov,2018-2019,1. Serie A,Roma,33,32,"2,906",8,2,3,3,5.0,2.6,6.6
Aleksandar Kolarov,2019-2020,1. Serie A,Roma,32,30,"2,732",7,3,2,2,6.7,3.5,5.1
Aleksandar Kolarov,2020-2021,1. Serie A,Inter,7,4,390,0,1,0,0,0.1,0.1,1.1
Aleksandar Kolarov,2021-2022,1. Serie A,Inter,3,0,42,0,0,0,0,0.0,0.0,0.0
Alessandro Bastoni,2016-2017,1. Serie A,Atalanta,3,1,155,0,0,0,0,,,
Alessandro Bastoni,2017-2018,1. Serie A,Atalanta,4,0,91,0,0,0,0,0.0,0.0,0.1
Alessandro Bastoni,2018-2019,1. Serie A,Parma,24,18,"1,690",1,0,0,0,0.6,0.6,0.4
Alessandro Bastoni,2019-2020,1. Serie A,Inter,25,21,"1,921",2,0,0,0,1.3,1.3,0.7
Alessandro Bastoni,2020-2021,1. Serie A,Inter,33,33,"2,922",0,3,0,0,1.0,1.0,1.5
Alessandro Bastoni,2021-2022,1. Serie A,Inter,31,29,"2,311",1,2,0,0,0.3,0.3,2.0
Alessandro Bastoni,2022-2023,1. Serie A,Inter,29,26,"2,157",0,2,0,0,1.0,1.0,2.7
Alessandro Bastoni,2023-2024,1. Serie A,Inter,28,28,"2,268",1,3,0,0,1.2,1.2,3.4
Alessandro Bastoni,2024-2025,1. Serie A,Inter,12,12,918,0,3,0,0,0.1,0.1,1.5
Alessandro Buongiorno,2016-2017,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Buongiorno,2017-2018,1. Serie A,Torino,1,0,9,0,0,0,0,0.0,0.0,0.0
Alessandro Buongiorno,2018-2019,2. Serie B,Carpi,18,14,"1,203",0,1,0,0,0.6,0.6,0.5
Alessandro Buongiorno,2019-2020,2. Serie B,Trapani,13,12,"1,079",0,0,0,0,0.5,0.5,0.5
Alessandro Buongiorno,2019-2020,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Buongiorno,2020-2021,1. Serie A,Torino,12,9,858,0,0,0,0,0.3,0.3,0.0
Alessandro Buongiorno,2021-2022,1. Serie A,Torino,23,12,"1,181",0,1,0,0,0.9,0.9,0.7
Alessandro Buongiorno,2022-2023,1. Serie A,Torino,34,30,"2,721",1,2,0,0,2.2,2.2,1.3
Alessandro Buongiorno,2023-2024,1. Serie A,Torino,29,29,"2,527",3,0,0,0,1.6,1.6,0.1
Alessandro Buongiorno,2024-2025,1. Serie A,Napoli,13,13,"1,170",1,0,0,0,0.8,0.8,0.6
Alessandro Fiordaliso,2017-2018,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Fiordaliso,,,,,,,,,,,,,
Alessandro Fiordaliso,2019-2020,2. Serie B,Venezia,26,21,"1,904",0,1,0,0,0.3,0.3,1.1
Alessandro Fiordaliso,2020-2021,2. Serie B,Cremonese,20,19,"1,618",0,1,0,0,0.1,0.1,0.4
Alessandro Fiordaliso,2021-2022,2. Serie B,Cremonese,3,2,138,0,0,0,0,0.0,0.0,0.0
Alessandro Fiordaliso,2022-2023,2. Serie B,SPAL,15,3,459,0,0,0,0,0.2,0.2,0.2
Alessandro Florenzi,2010-2011,1. Serie A,Roma,1,0,5,0,0,0,0,,,
Alessandro Florenzi,2011-2012,2. Serie B,Crotone,35,33,"2,868",11,2,0,0,,,
Alessandro Florenzi,2012-2013,1. Serie A,Roma,36,25,"2,145",3,4,0,0,,,
Alessandro Florenzi,2013-2014,1. Serie A,Roma,37,22,"1,893",6,7,0,0,,,
Alessandro Florenzi,2014-2015,1. Serie A,Roma,35,24,"2,298",5,4,1,1,,,
Alessandro Florenzi,2015-2016,1. Serie A,Roma,33,31,"2,719",7,3,0,0,,,
Alessandro Florenzi,2016-2017,1. Serie A,Roma,9,8,747,0,3,0,0,,,
Alessandro Florenzi,2017-2018,1. Serie A,Roma,32,26,"2,387",1,3,0,0,3.8,3.1,4.6
Alessandro Florenzi,2018-2019,1. Serie A,Roma,29,24,"2,180",3,2,0,0,2.2,2.2,4.4
Alessandro Florenzi,2019-2020,1. Serie A,Roma,14,12,997,0,1,0,0,0.5,0.5,1.8
Alessandro Florenzi,2019-2020,1. La Liga,Valencia,12,9,752,0,0,0,0,0.6,0.6,0.8
Alessandro Florenzi,2020-2021,1. Ligue 1,Paris S-G,21,18,"1,538",2,1,0,0,2.2,2.2,2.4
Alessandro Florenzi,2021-2022,1. Serie A,Milan,24,12,"1,152",2,0,0,0,0.7,0.7,0.9
Alessandro Florenzi,2022-2023,1. Serie A,Milan,6,2,203,0,0,0,0,0.8,0.8,0.5
Alessandro Florenzi,2023-2024,1. Serie A,Milan,31,19,"1,732",1,4,0,0,1.7,1.7,3.4
Alessandro Murgia,2014-2015,1. Serie A,Lazio,0,0,,,,,,,,
Alessandro Murgia,2015-2016,1. Serie A,Lazio,0,0,,,,,,,,
Alessandro Murgia,2016-2017,1. Serie A,Lazio,14,4,495,2,0,0,0,,,
Alessandro Murgia,2017-2018,1. Serie A,Lazio,16,9,777,0,0,0,0,0.8,0.8,0.3
Alessandro Murgia,2018-2019,1. Serie A,Lazio,1,0,9,0,0,0,0,0.0,0.0,0.0
Alessandro Murgia,2018-2019,1. Serie A,SPAL,15,11,"1,072",0,3,0,0,0.8,0.8,1.8
Alessandro Murgia,2019-2020,1. Serie A,SPAL,25,19,"1,750",0,1,0,0,2.4,2.4,2.0
Alessandro Murgia,2020-2021,2. Serie B,SPAL,23,8,778,1,1,0,0,2.0,2.0,0.5
Alessandro Murgia,2021-2022,2. Serie B,Perugia,4,0,60,0,0,0,0,0.0,0.0,0.4
Alessandro Murgia,2021-2022,2. Serie B,SPAL,1,1,53,0,0,0,0,0.8,0.8,0.1
Alessandro Murgia,2022-2023,2. Serie B,SPAL,18,11,"1,092",0,0,0,0,0.6,0.6,0.3
Alessandro Murgia,2023-2024,1. Liga I,Hermannstadt,24,20,"1,650",1,2,0,0,,,
Alessandro Murgia,2024-2025,1. Liga I,Hermannstadt,17,17,"1,437",3,0,0,0,,,
Alessio Miceli,2017-2018,1. Serie A,Lazio,0,0,,,,,,,,
Alessio Miceli,,,,,,,,,,,,,
Alessio Miceli,2021-2022,2. Eerste Divisie,Dordrecht,30,15,"1,390",3,1,0,0,0.19,0.06,0.26
Alessio Miceli,2022-2023,2. Eerste Divisie,Dordrecht,19,5,690,0,0,0,0,0.00,0.00,0.00
Alessio Riccardi,2017-2018,1. Serie A,Roma,0,0,,,,,,,,
Alessio Riccardi,2018-2019,1. Serie A,Roma,0,0,,,,,,,,
Alessio Riccardi,2019-2020,1. Serie A,Roma,0,0,,,,,,,,
Alessio Riccardi,2020-2021,2. Serie B,Pescara,8,1,155,0,0,0,0,0.2,0.2,0.0
Alessio Romagnoli,2012-2013,1. Serie A,Roma,2,1,101,1,0,0,0,,,
Alessio Romagnoli,2013-2014,1. Serie A,Roma,11,8,703,0,0,0,0,,,
Alessio Romagnoli,2014-2015,1. Serie A,Roma,0,0,,,,,,,,
Alessio Romagnoli,2014-2015,1. Serie A,Sampdoria,30,28,"2,535",2,2,0,0,,,
Alessio Romagnoli,2015-2016,1. Serie A,Milan,34,33,"2,944",0,0,0,0,,,
Alessio Romagnoli,2016-2017,1. Serie A,Milan,27,27,"2,369",1,1,0,0,,,
Alessio Romagnoli,2017-2018,1. Serie A,Milan,28,27,"2,353",2,0,0,0,1.1,1.1,0.3
Alessio Romagnoli,2018-2019,1. Serie A,Milan,32,32,"2,847",2,0,0,0,0.9,0.9,0.2
Alessio Romagnoli,2019-2020,1. Serie A,Milan,35,35,"3,091",1,0,0,0,1.6,1.6,1.2
Alessio Romagnoli,2020-2021,1. Serie A,Milan,22,21,"1,907",1,1,0,0,2.8,2.8,0.8
Alessio Romagnoli,2021-2022,1. Serie A,Milan,19,16,"1,409",1,0,0,0,0.6,0.6,0.1
Alessio Romagnoli,2022-2023,1. Serie A,Lazio,34,33,"2,922",2,0,0,0,1.4,1.4,0.1
Alessio Romagnoli,2023-2024,1. Serie A,Lazio,29,26,"2,411",0,0,0,0,0.6,0.6,0.6
Alessio Romagnoli,2024-2025,1. Serie A,Lazio,11,11,878,0,0,0,0,0.7,0.7,0.1
Alex Sandro,2011-2012,1. Primeira Liga,Porto,7,4,415,1,0,0,0,,,
Alex Sandro,2012-2013,1. Primeira Liga,Porto,25,24,"2,148",1,2,0,0,,,
Alex Sandro,2013-2014,1. Primeira Liga,Porto,26,26,"2,294",0,2,0,0,,,
Alex Sandro,2014-2015,1. Primeira Liga,Porto,28,28,"2,506",1,3,0,0,,,
Alex Sandro,2015-2016,1. Primeira Liga,Porto,1,1,90,0,0,0,0,,,
Alex Sandro,2015-2016,1. Serie A,Juventus,22,15,"1,501",2,3,0,0,,,
Alex Sandro,2016-2017,1. Serie A,Juventus,27,25,"2,312",3,4,0,0,,,
Alex Sandro,2017-2018,1. Serie A,Juventus,26,23,"2,117",4,3,0,0,1.6,1.6,2.8
Alex Sandro,2018-2019,1. Serie A,Juventus,31,28,"2,387",1,2,0,0,1.5,1.5,2.4
Alex Sandro,2019-2020,1. Serie A,Juventus,29,27,"2,385",1,3,0,0,0.8,0.8,2.1
Alex Sandro,2020-2021,1. Serie A,Juventus,26,20,"1,858",2,1,0,0,1.6,1.6,1.6
Alex Sandro,2021-2022,1. Serie A,Juventus,28,17,"1,780",0,1,0,0,0.9,0.9,1.3
Alex Sandro,2022-2023,1. Serie A,Juventus,25,21,"1,787",0,1,0,0,0.2,0.2,0.9
Alex Sandro,2023-2024,1. Serie A,Juventus,16,8,721,1,0,0,0,0.4,0.4,0.9
Alex Sandro,2024,1. Série A,Flamengo,8,5,512,0,1,0,0,0.4,0.4,1.7
Alisson,2014,1. Série A,Internacional,11,11,990,0,0,0,0,,,
Alisson,2015,1. Série A,Internacional,26,26,"2,265",0,0,0,0,,,
Alisson,2016,1. Série A,Internacional,1,1,90,0,0,0,0,,,
Alisson,2016-2017,1. Serie A,Roma,0,0,,,,,,,,
Alisson,2017-2018,1. Serie A,Roma,37,37,"3,330",0,0,0,0,0.0,0.0,0.0
Alisson,2018-2019,1. Premier League,Liverpool,38,38,"3,420",0,0,0,0,0.0,0.0,0.0
Alisson,2019-2020,1. Premier League,Liverpool,29,29,"2,543",0,1,0,0,0.0,0.0,0.3
Alisson,2020-2021,1. Premier League,Liverpool,33,33,"2,970",1,0,0,0,0.1,0.1,0.0
Alisson,2021-2022,1. Premier League,Liverpool,36,36,"3,240",0,1,0,0,0.0,0.0,0.2
Alisson,2022-2023,1. Premier League,Liverpool,37,37,"3,330",0,1,0,0,0.0,0.0,0.3
Alisson,2023-2024,1. Premier League,Liverpool,28,28,"2,520",0,0,0,0,0.0,0.0,0.0
Alisson,2024-2025,1. Premier League,Liverpool,6,6,528,0,0,0,0,0.0,0.0,0.0
Allan,2012-2013,1. Serie A,Udinese,36,33,"3,039",0,6,0,0,,,
Allan,2013-2014,1. Serie A,Udinese,33,30,"2,642",0,2,0,0,,,
Allan,2014-2015,1. Serie A,Udinese,35,33,"3,001",1,5,0,0,,,
Allan,2015-2016,1. Serie A,Napoli,35,32,"2,818",3,5,0,0,,,
Allan,2016-2017,1. Serie A,Napoli,29,19,"1,610",1,6,0,0,,,
Allan,2017-2018,1. Serie A,Napoli,38,32,"2,850",4,5,0,0,3.8,3.8,3.6
Allan,2018-2019,1. Serie A,Napoli,33,28,"2,616",1,3,0,0,1.0,1.0,2.5
Allan,2019-2020,1. Serie A,Napoli,23,16,"1,280",2,1,0,0,0.5,0.5,1.1
Allan,2020-2021,1. Premier League,Everton,24,23,"2,051",0,0,0,0,0.3,0.3,0.8
Allan,2021-2022,1. Premier League,Everton,28,25,"2,183",0,2,0,0,0.2,0.2,0.8
Allan,2022-2023,1. Premier League,Everton,0,0,,,,,,,,
Allan,,,,,,,,,,,,,
Allan,2024,1. Série A,Botafogo (RJ),10,2,290,0,1,0,0,0.0,0.0,0.2
Amadou Diawara,2015-2016,1. Serie A,Bologna,34,31,"2,731",0,1,0,0,,,
Amadou Diawara,2016-2017,1. Serie A,Napoli,18,10,"1,046",0,0,0,0,,,
Amadou Diawara,2017-2018,1. Serie A,Napoli,18,5,655,1,0,0,0,0.2,0.2,0.2
Amadou Diawara,2018-2019,1. Serie A,Napoli,13,8,661,0,0,0,0,0.4,0.4,0.2
Amadou Diawara,2019-2020,1. Serie A,Roma,22,19,"1,518",1,1,1,1,1.0,0.3,0.5
Amadou Diawara,2020-2021,1. Serie A,Roma,18,7,658,1,0,0,0,0.9,0.9,0.4
Amadou Diawara,2021-2022,1. Serie A,Roma,4,2,170,0,0,0,0,0.0,0.0,0.0
Amadou Diawara,2022-2023,1. Pro League A,Anderlecht,22,19,"1,557",1,1,0,0,0.5,0.5,0.7
Amadou Diawara,2023-2024,1. Pro League A,Anderlecht,11,6,594,0,0,0,0,0.1,0.1,0.0
Andrea Barzagli,2002-2003,2. Serie B,Ascoli,18,16,"1,476",1,1,0,0,,,
Andrea Barzagli,2003-2004,1. Serie A,Chievo,29,27,"2,462",3,0,0,0,,,
Andrea Barzagli,2004-2005,1. Serie A,Palermo,37,37,"3,325",0,0,0,0,,,
Andrea Barzagli,2005-2006,1. Serie A,Palermo,35,35,"3,106",2,0,0,0,,,
Andrea Barzagli,2006-2007,1. Serie A,Palermo,36,36,"3,234",1,2,0,0,,,
Andrea Barzagli,2007-2008,1. Serie A,Palermo,34,33,"2,982",0,0,0,0,,,
Andrea Barzagli,2008-2009,1. Bundesliga,Wolfsburg,34,34,"3,060",0,0,0,0,,,
Andrea Barzagli,2009-2010,1. Bundesliga,Wolfsburg,24,24,"2,068",1,0,0,0,,,
Andrea Barzagli,2010-2011,1. Bundesliga,Wolfsburg,17,17,"1,485",0,0,0,0,,,
Andrea Barzagli,2010-2011,1. Serie A,Juventus,15,14,"1,284",0,0,0,0,,,
Andrea Barzagli,2011-2012,1. Serie A,Juventus,35,34,"3,013",1,0,1,1,,,
Andrea Barzagli,2012-2013,1. Serie A,Juventus,34,34,"2,955",0,1,0,0,,,
Andrea Barzagli,2013-2014,1. Serie A,Juventus,26,26,"2,286",0,0,0,0,,,
Andrea Barzagli,2014-2015,1. Serie A,Juventus,10,9,770,0,0,0,0,,,
Andrea Barzagli,2015-2016,1. Serie A,Juventus,31,31,"2,737",1,0,0,0,,,
Andrea Barzagli,2016-2017,1. Serie A,Juventus,23,17,"1,532",0,0,0,0,,,
Andrea Barzagli,2017-2018,1. Serie A,Juventus,25,14,"1,447",0,1,0,0,0.0,0.0,0.4
Andrea Barzagli,2018-2019,1. Serie A,Juventus,7,4,260,0,0,0,0,0.0,0.0,0.0
Andrea Belotti,2011-2012,2. Serie B,AlbinoLeffe,8,4,458,2,0,0,0,,,
Andrea Belotti,,,,,,,,,,,,,
Andrea Belotti,2013-2014,2. Serie B,Palermo,24,11,"1,237",10,3,0,0,,,
Andrea Belotti,2014-2015,1. Serie A,Palermo,38,9,"1,363",6,1,1,1,,,
Andrea Belotti,2015-2016,1. Serie A,Torino,35,31,"2,588",12,4,4,4,,,
Andrea Belotti,2016-2017,1. Serie A,Torino,35,34,"3,070",26,7,2,2,,,
Andrea Belotti,2017-2018,1. Serie A,Torino,32,29,"2,683",10,5,0,0,10.5,8.9,4.7
Andrea Belotti,2018-2019,1. Serie A,Torino,37,37,"3,299",15,3,5,5,17.3,12.6,4.3
Andrea Belotti,2019-2020,1. Serie A,Torino,36,34,"3,008",16,3,7,7,16.7,10.5,4.6
Andrea Belotti,2020-2021,1. Serie A,Torino,35,33,"2,888",13,6,4,4,13.7,9.8,7.0
Andrea Belotti,2021-2022,1. Serie A,Torino,22,16,"1,371",8,1,3,3,7.9,5.6,0.7
Andrea Belotti,2022-2023,1. Serie A,Roma,31,11,"1,146",0,2,0,0,3.5,2.7,1.6
Andrea Belotti,2023-2024,1. Serie A,Roma,14,6,679,3,2,0,0,2.4,2.4,1.2
Andrea Belotti,2023-2024,1. Serie A,Fiorentina,15,11,949,3,0,0,0,3.7,3.7,0.7
Andrea Belotti,2024-2025,1. Serie A,Como,11,4,333,1,0,0,0,1.6,1.6,0.2
Andrea Colpani,2017-2018,1. Serie A,Atalanta,0,0,,,,,,,,
Andrea Colpani,2018-2019,1. Serie A,Atalanta,0,0,,,,,,,,
Andrea Colpani,2019-2020,2. Serie B,Trapani,34,24,"1,757",0,2,0,0,1.9,1.9,2.3
Andrea Colpani,2020-2021,2. Serie B,Monza,23,11,924,1,1,0,0,2.7,2.7,2.0
Andrea Colpani,2021-2022,2. Serie B,Monza,33,21,"1,677",5,1,0,0,4.1,4.1,3.7
Andrea Colpani,2022-2023,1. Serie A,Monza,27,10,948,4,1,0,0,2.1,2.1,1.9
Andrea Colpani,2023-2024,1. Serie A,Monza,38,36,"2,657",8,4,0,0,4.8,4.8,5.0
Andrea Colpani,2024-2025,1. Serie A,Fiorentina,13,12,925,2,1,0,0,2.0,2.0,0.8
Andrea Conti,2014-2015,2. Serie B,Virtus Lanciano,24,21,"1,894",0,0,0,0,,,
Andrea Conti,2015-2016,1. Serie A,Atalanta,14,10,814,2,1,0,0,,,
Andrea Conti,2016-2017,1. Serie A,Atalanta,33,31,"2,663",8,5,0,0,,,
Andrea Conti,2017-2018,1. Serie A,Milan,2,2,157,0,0,0,0,0.0,0.0,0.1
Andrea Conti,2018-2019,1. Serie A,Milan,12,4,500,0,2,0,0,0.0,0.0,1.1
Andrea Conti,2019-2020,1. Serie A,Milan,23,21,"1,725",0,2,0,0,0.0,0.0,1.5
Andrea Conti,2020-2021,1. Serie A,Parma,11,9,809,0,0,0,0,0.5,0.5,0.5
Andrea Conti,2020-2021,1. Serie A,Milan,3,0,28,0,0,0,0,0.0,0.0,0.1
Andrea Conti,2021-2022,1. Serie A,Milan,1,0,13,0,0,0,0,0.0,0.0,0.0
Andrea Conti,2021-2022,1. Serie A,Sampdoria,7,2,234,1,0,0,0,0.4,0.4,0.0
Andrea Conti,2022-2023,1. Serie A,Sampdoria,1,0,23,0,0,0,0,0.0,0.0,0.0
Andrea Conti,2023-2024,2. Serie B,Sampdoria,1,0,1,0,0,0,0,0.0,0.0,0.0
Andrea Marcucci,2017-2018,1. Serie A,Roma,0,0,,,,,,,,
Andrea Marcucci,2018-2019,1. Serie A,Roma,0,0,,,,,,,,
Andrea Marcucci,2018-2019,2. Serie B,Foggia,1,0,29,0,0,0,0,0.0,0.0,0.0
Andrea Marcucci,,,,,,,,,,,,,
Andrea Marcucci,2020-2021,2. Serie B,US Reggina,0,0,,,,,,,,
Andrea Marcucci,2020-2021,2. Serie B,Virtus Entella,6,1,156,0,0,0,0,0.1,0.1,0.3
Andrea Masiello,2004-2005,1. Serie A,Juventus,1,0,35,0,,0,0,,,
Andrea Masiello,2005-2006,2. Serie B,Avellino,39,39,"3,504",1,2,0,0,,,
Andrea Masiello,2006-2007,2. Serie B,Genoa,15,5,626,0,1,0,0,,,
Andrea Masiello,2007-2008,1. Serie A,Genoa,4,2,192,1,0,0,0,,,
Andrea Masiello,2007-2008,2. Serie B,Bari,20,20,"1,800",0,0,0,0,,,
Andrea Masiello,2008-2009,2. Serie B,Bari,39,39,"3,450",0,2,0,0,,,
Andrea Masiello,2009-2010,1. Serie A,Bari,36,36,"3,240",2,0,0,0,,,
Andrea Masiello,2010-2011,1. Serie A,Bari,36,36,"3,151",1,0,1,1,,,
Andrea Masiello,2011-2012,1. Serie A,Atalanta,17,17,"1,446",1,0,0,0,,,
Andrea Masiello,,,,,,,,,,,,,
Andrea Masiello,2014-2015,1. Serie A,Atalanta,14,12,"1,106",0,0,0,0,,,
Andrea Masiello,2015-2016,1. Serie A,Atalanta,29,27,"2,398",0,1,0,0,,,
Andrea Masiello,2016-2017,1. Serie A,Atalanta,35,34,"2,926",3,1,0,0,,,
Andrea Masiello,2017-2018,1. Serie A,Atalanta,31,30,"2,707",4,0,0,0,2.9,2.9,0.3
Andrea Masiello,2018-2019,1. Serie A,Atalanta,24,22,"1,836",0,2,0,0,1.4,1.4,0.6
Andrea Masiello,2019-2020,1. Serie A,Atalanta,7,7,543,0,0,0,0,0.0,0.0,0.1
Andrea Masiello,2019-2020,1. Serie A,Genoa,15,15,"1,324",0,1,0,0,0.3,0.3,0.5
Andrea Masiello,2020-2021,1. Serie A,Genoa,30,30,"2,563",0,0,0,0,0.5,0.5,0.4
Andrea Masiello,2021-2022,1. Serie A,Genoa,7,6,515,0,0,0,0,0.0,0.0,0.0
Andrea Masiello,2022-2023,2. Serie B,Südtirol,31,31,"2,765",0,1,0,0,0.2,0.2,0.5
Andrea Masiello,2023-2024,2. Serie B,Südtirol,34,34,"3,016",2,0,0,0,1.3,1.3,0.8
Andrea Masiello,2024-2025,2. Serie B,Südtirol,10,10,900,0,1,0,0,0.1,0.1,0.6
